tile_id,centroid_lon,centroid_lat,min_lon,min_lat,max_lon,max_lat
000002,-125.21056627986589,48.07083932891577,-126.47207673095862,47.21642657868606,-123.96617156935633,48.92497679736155
000003,-123.29652833745835,48.46974087073348,-124.55273600981144,47.62302872419493,-122.05812766896058,49.31600970274531
000004,-121.3594438867909,48.842752451906215,-122.60907378118472,48.00423562051178,-120.12828900446722,49.68063145816491
000005,-119.40053189253722,49.18931673906957,-120.6422808470107,48.3595066545825,-118.17789792114093,50.01826776747665
000006,-117.4211130375023,49.508895673279476,-118.65365567067404,48.68831810217754,-116.20829252367783,50.32836626334606
000007,-115.4226068691578,49.800975084270156,-116.64460207130814,48.990167421172075,-114.22090334123943,50.61040146897913
000034,-124.61862285297289,46.77570796913193,-125.85127645558262,45.927620113337944,-123.40256274617033,47.62302872419493
000035,-122.73896465635362,47.16493028668778,-123.96617156935633,46.32469156117697,-121.52899269692864,48.00423562051178
000036,-120.8375697012163,47.52870296505722,-122.05812766896058,46.6967757747993,-119.6348655685007,48.3595066545825
000037,-118.91560654038892,47.86651658347127,-120.12828900446722,47.04337755954533,-117.72136991813848,48.68831810217754
000038,-116.9743363560374,48.17788045952261,-118.17789792114093,47.36401824958866,-115.78978146820585,48.990167421172075
000039,-115.01511015521872,48.46232671228137,-116.20829252367783,47.658239506655285,-113.8414598909357,49.26457759868677
000040,-113.03936501724884,48.719414333369066,-114.22090334123943,47.925607143048246,-111.87784469907409,49.511101485562364
000041,-111.04861938769469,48.94873320168677,-112.2172489764282,48.16571491226729,-109.90045024757495,49.729326045271804
000042,-109.04446743165207,49.14990797282716,-110.19893073990093,48.37818820588499,-107.91085986849221,49.91887643978181
000043,-107.0285724777902,49.322601771341084,-108.1676262922612,48.56268759219413,-105.91071917878807,50.079419872476386
000044,-105.00265960388718,49.4665196132962,-106.125082335653,48.71891213077192,-103.90172861841093,50.21066910839188
000045,-102.96850743363463,49.58141148819797,-104.0731064184573,48.84660239775205,-101.88563529312403,50.31238559492385
000046,-100.9279392327103,49.66707503348144,-102.01355793696918,48.94554315940761,-99.8642242125977,50.38438211195075
000049,-94.78643802882753,49.747429459173986,-95.81272239057687,49.05116677065551,-93.73808273770642,50.43873513765736
000062,-68.91200396395605,47.094903566122454,-70.12318919245311,46.2531799472083,-67.68370075005068,47.93572631212545
000063,-67.03648313458734,46.701035163519094,-68.25354110291174,45.85154615050499,-65.80295234349776,47.549785218710845
000066,-124.049506169434,45.483379635314364,-125.25447665597868,44.64085914573773,-122.86062524705187,46.32469156117697
000067,-122.20315350976259,45.86359925045356,-123.40256274617033,45.029051088734896,-121.02042974414992,46.6967757747993
000068,-120.33627918536574,46.21879041643415,-121.52899269692864,45.39264706279408,-119.16082520659671,47.04337755954533
000069,-118.45000320900023,46.54848657906897,-119.6348655685007,45.731192669515345,-117.28294873126721,47.36401824958866
000070,-116.54553006298774,46.852239265285064,-117.72136991813848,46.04424954920954,-115.38801687160122,47.658239506655285
000071,-114.62414596569754,47.129621673105554,-115.78978146820585,46.331398752359874,-113.47732255309023,47.925607143048246
000072,-112.68721530111151,47.380232248745216,-113.8414598909357,46.59224411401001,-111.55223120060343,48.16571491226729
000073,-110.73617621043041,47.60369819630314,-111.87784469907409,46.82641558265047,-109.61417608511755,48.37818820588499
000074,-108.77253535995195,47.79967886223414,-109.90045024757495,47.03357245181736,-107.66465291190157,48.56268759219413
000075,-106.79786191543594,47.96786893496055,-107.91085986849221,47.21340644049041,-105.70521368710192,48.71891213077192
000076,-104.81378076941297,48.10800139987328,-105.91071917878807,47.365644567694694,-103.73745991453795,48.84660239775205
000077,-102.82196508389335,48.21985019173065,-103.90172861841093,47.49005176763606,-101.76303518888935,48.94554315940761
